Bin_ID,Samples,Sample,Day,Treatment,Bin_Size(Mbp),16S,Completeness,Contamination,Strain_Heterogeneity,Percent_community,dRep_cluster,Domain,Phylum,Class,Order,Family,Genus,Species
1_bin.16,205R1,1,9,AB,3.356616,x,95.8,1.2,85.71,1.326949461,82_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Simplicispira_B,
1_bin.35,205R1,1,9,AB,3.162746,x,72.2,9.98,22.22,0.775836802,65_2,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Palsa-1005,PALSA-1003,
2_bin.34,205R2,2,9,AB,3.496008,NODE_71_length_98665_cov_6.970848,100,1.94,0,1.026033189,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
2_bin.23,205R2,2,9,AB,2.464875,x,94.72,1.01,100,1.415872464,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
2_bin.37,205R2,2,9,AB,1.759476,x,62.52,1.26,20,0.566132967,18_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
2_bin.32,205R2,2,9,AB,3.033352,x,80.63,0.25,0,2.55070819,7_1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,
2_bin.50,205R2,2,9,AB,2.420241,x,72.58,0.48,100,4.648219999,103_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,
2_bin.6,205R2,2,9,AB,5.165919,x,100,0.64,0,4.018222399,98_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
2_bin.4,205R2,2,9,AB,5.410799,x,99.37,0.95,0,2.911256773,102_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium nematocida
2_bin.19,205R2,2,9,AB,2.204635,NODE_10852_length_3615_cov_8.026569,65.49,1.65,0,0.650959031,64_11,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,20CM-2-65-7,
2_bin.33,205R2,2,9,AB,4.430794,x,90.23,1.48,25,5.496799996,37_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
2_bin.44,205R2,2,9,AB,2.357585,x,60.34,0,0,0.789428657,32_10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,
2_bin.5,205R2,2,9,AB,3.873849,x,95.47,0,0,2.672391217,31_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,
2_bin.30,205R2,2,9,AB,2.28463,NODE_3420_length_7226_cov_27.030214,66.03,0.86,100,3.071388867,26_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
2_bin.21,205R2,2,9,AB,2.333125,NODE_3807_length_6761_cov_7.603680,75.39,0.76,0,1.268886082,28_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_F,
2_bin.28,205R2,2,9,AB,3.002445,x,98.26,0.49,0,10.23101689,29_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphningosinicella,
2_bin.1,205R2,2,9,AB,3.384522,x,56.21,3.45,50,0.542764626,59_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,
2_bin.36,205R2,2,9,AB,3.462105,x,98.41,0.95,0,2.291119857,67_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
2_bin.41,205R2,2,9,AB,3.402602,x,95.14,0.43,0,1.297001265,82_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Simplicispira_B,
2_bin.17,205R2,2,9,AB,2.872808,x,76.19,3.03,40,0.768293057,65_3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Palsa-1005,PALSA-1003,
3_bin.17,205R3,3,9,AB,3.432649,NODE_897_length_16507_cov_6.013694,98.06,1.46,50,1.276189626,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
3_bin.24,205R3,3,9,AB,2.564191,x,94.51,1.43,75,1.637955038,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
3_bin.34,205R3,3,9,AB,2.968425,x,73.26,0.84,25,3.027688952,7_1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,
3_bin.23,205R3,3,9,AB,2.565383,x,77.38,3.51,88.89,6.001253818,103_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,
3_bin.32,205R3,3,9,AB,5.167149,x,100,0.64,0,5.762071288,98_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
3_bin.26,205R3,3,9,AB,5.23591,x,93.65,0,0,2.346050596,102_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium nematocida
3_bin.12,205R3,3,9,AB,1.632123,x,54.14,0.55,0,0.781012418,64_2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,20CM-2-65-7,
3_bin.5,205R3,3,9,AB,4.4317,x,87.56,3.33,5.88,7.011950502,37_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
3_bin.31,205R3,3,9,AB,1.698515,x,50.86,0,0,0.890279617,32_17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,
3_bin.33,205R3,3,9,AB,3.886801,x,94.19,0,0,3.546318725,31_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,
3_bin.8,205R3,3,9,AB,2.206944,x,66.61,1.92,40,3.316659781,26_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
3_bin.13,205R3,3,9,AB,2.236643,x,54.31,1.72,0,1.186449193,28_3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_F,
3_bin.16,205R3,3,9,AB,2.936641,x,90.99,0.88,33.33,6.603200953,29_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphningosinicella,
3_bin.18,205R3,3,9,AB,3.58098,NODE_16_length_185249_cov_11.629193,98.21,0.95,0,2.527764617,67_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
3_bin.1,205R3,3,9,AB,3.377342,x,92.18,1.03,42.86,1.440009687,82_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Simplicispira_B,
4_bin.7,210R1,4,9,AF,3.217152,NODE_248_length_30868_cov_5.595888,93.53,0.97,0,0.86790804,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
4_bin.8,210R1,4,9,AF,2.565534,x,91.23,3.02,77.78,0.945269138,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
4_bin.20,210R1,4,9,AF,3.365552,x,88.43,1.26,40,1.358970884,81_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter_F,
4_bin.13,210R1,4,9,AF,3.605182,x,77.62,5.22,21.74,0.766761457,37_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
4_bin.6,210R1,4,9,AF,3.359043,x,72.4,2.6,81.82,3.081217432,38_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,
4_bin.17,210R1,4,9,AF,2.734072,x,92.53,2.33,45.45,1.052186283,26_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
4_bin.10,210R1,4,9,AF,4.96615,x,68.21,0.58,50,39.73551413,61_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter sp001298955
4_bin.11,210R1,4,9,AF,3.470639,NODE_12_length_104400_cov_12.790449,98.33,0.95,0,2.235816602,67_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
4_bin.9,210R1,4,9,AF,2.944575,x,85.02,1.25,71.43,0.797443076,71_3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
4_bin.16,210R1,4,9,AF,3.221216,x,91.42,0.58,66.67,1.221462384,82_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Simplicispira_B,
5_bin.25,210R2,5,9,AF,3.450027,x,99.03,0.97,0,0.846706472,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
5_bin.5,210R2,5,9,AF,2.549856,x,96.68,2.19,71.43,1.128295756,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
5_bin.21,210R2,5,9,AF,3.284727,x,88.32,0.69,50,1.233615384,81_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter_F,
5_bin.17,210R2,5,9,AF,3.119791,x,64.58,0,0,0.601249289,105_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,
5_bin.8,210R2,5,9,AF,2.449301,x,75.85,2.74,85.71,2.389727989,103_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,
5_bin.3,210R2,5,9,AF,2.252196,x,62.25,1.73,80,3.177819772,24_1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
5_bin.11,210R2,5,9,AF,1.824287,x,53.88,0.7,66.67,5.941678109,25_0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis_A
5_bin.6,210R2,5,9,AF,3.681147,x,70.69,0,0,0.728220112,37_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
5_bin.16,210R2,5,9,AF,2.604391,x,52.07,0,0,2.994876854,38_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,
5_bin.4,210R2,5,9,AF,2.585219,x,85.42,1.73,62.5,0.925572057,26_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
5_bin.19,210R2,5,9,AF,3.606525,x,99.72,0.98,0,2.334444932,67_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
5_bin.24,210R2,5,9,AF,3.352898,x,90.04,1.95,36.36,0.803337232,71_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
5_bin.9,210R2,5,9,AF,3.425831,x,95.45,0.27,0,1.254487067,82_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Simplicispira_B,
6_bin.12,210R3,6,9,AF,3.142414,x,93.2,0,0,0.643520308,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
6_bin.17,210R3,6,9,AF,2.550011,x,94.63,1.27,75,0.868579574,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
6_bin.10,210R3,6,9,AF,2.938911,x,85.51,1.21,75,1.386960674,81_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter_F,
6_bin.27,210R3,6,9,AF,2.503108,x,59.01,0.63,100,2.06476187,103_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,
6_bin.5,210R3,6,9,AF,3.662596,x,78.76,4.7,22.58,0.604358803,37_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
6_bin.19,210R3,6,9,AF,2.645595,x,54.83,7.16,0,0.675347641,39_5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,
6_bin.3,210R3,6,9,AF,3.348594,x,68.67,2.36,100,2.290992802,38_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,
6_bin.22,210R3,6,9,AF,2.700249,x,89.69,3.96,52.94,0.804772175,26_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
6_bin.26,210R3,6,9,AF,3.467405,x,98.33,0.95,0,1.874644007,67_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
6_bin.8,210R3,6,9,AF,3.361192,x,90.5,3.46,9.68,0.714988792,71_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
6_bin.6,210R3,6,9,AF,3.330542,x,95.68,0.5,60,0.91955771,82_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Simplicispira_B,
7_bin.33,215R1,7,9,AB+AF,2.256841,x,74.68,0.97,0,0.637384915,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
7_bin.3,215R1,7,9,AB+AF,2.590618,x,97.25,1.26,25,1.565161957,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
7_bin.5,215R1,7,9,AB+AF,2.273074,x,63.02,0.55,33.33,0.996905973,7_2,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,
7_bin.15,215R1,7,9,AB+AF,1.540169,x,56.05,2.51,5.88,0.69121066,64_10,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,20CM-2-65-7,
7_bin.30,215R1,7,9,AB+AF,2.606997,x,90.17,1.28,71.43,0.855888995,22_1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
7_bin.4,215R1,7,9,AB+AF,3.317767,x,69.61,4.77,14.29,0.806489572,37_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
7_bin.27,215R1,7,9,AB+AF,4.472039,x,65.73,5.81,23.08,1.212924655,39_2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,
7_bin.32,215R1,7,9,AB+AF,2.47717,x,52.53,1.33,60,2.799348438,38_2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,
7_bin.7,215R1,7,9,AB+AF,2.710859,x,90.89,1.62,14.29,1.485317066,26_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
7_bin.21,215R1,7,9,AB+AF,2.20141,x,64.09,2.17,33.33,1.058385961,28_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_F,
7_bin.20,215R1,7,9,AB+AF,5.486348,x,53.79,1.72,100,3.012208144,60_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter spanius_B
7_bin.1,215R1,7,9,AB+AF,3.531656,x,99.37,0.98,0,2.090782269,67_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
7_bin.17,215R1,7,9,AB+AF,3.41551,x,95.44,0.64,66.67,1.80396912,82_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Simplicispira_B,
8_bin.21,215R2,8,9,AB+AF,2.234083,x,73.46,0.97,0,0.412022218,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
8_bin.25,215R2,8,9,AB+AF,2.230027,x,57.56,1.52,33.33,0.456549856,18_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
8_bin.41,215R2,8,9,AB+AF,2.632196,x,97.29,1.11,50,1.103090585,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
8_bin.37,215R2,8,9,AB+AF,2.845193,NODE_1530_length_15446_cov_11.781703,72.02,1.29,50,0.866388528,7_1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,
8_bin.36,215R2,8,9,AB+AF,2.444812,x,69.36,1.79,87.5,2.686495317,103_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,
8_bin.15,215R2,8,9,AB+AF,2.286601,NODE_2097_length_12493_cov_4.208521,68.96,0.1,100,0.506969688,64_9,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,20CM-2-65-7,
8_bin.27,215R2,8,9,AB+AF,2.179082,x,66.31,0.97,50,0.41583947,5_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,,
8_bin.28,215R2,8,9,AB+AF,2.79792,x,95.65,0.27,50,0.711887776,22_1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
8_bin.31,215R2,8,9,AB+AF,4.625272,NODE_14_length_135033_cov_22.199843,93.05,1.78,23.53,2.334944596,37_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
8_bin.22,215R2,8,9,AB+AF,2.695805,x,55.03,1.84,85.71,2.287279837,38_2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,
8_bin.24,215R2,8,9,AB+AF,4.363528,NODE_3945_length_8217_cov_5.057740,78.92,3.24,18.75,0.645892841,66_0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,PALSA-894,
8_bin.6,215R2,8,9,AB+AF,2.871703,x,94.71,2.56,16.67,1.362183097,26_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
8_bin.13,215R2,8,9,AB+AF,2.539206,NODE_11957_length_4147_cov_6.111548,72.75,4.58,15.38,0.918265097,28_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_F,
8_bin.20,215R2,8,9,AB+AF,5.821162,x,93.59,1.32,80,37.33980166,59_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,
8_bin.4,215R2,8,9,AB+AF,2.797022,x,73.43,6.9,20,0.479425371,71_4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
8_bin.46,215R2,8,9,AB+AF,3.561726,x,98.33,0.95,0,1.852743012,67_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
8_bin.40,215R2,8,9,AB+AF,3.37171,x,95.63,0.94,83.33,1.895163914,82_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Simplicispira_B,
9_bin.13,215R3,9,9,AB+AF,3.147967,NODE_982_length_19373_cov_4.376762,92.23,0.97,0,0.414494861,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
9_bin.33,215R3,9,9,AB+AF,2.665046,x,95.48,0.73,66.67,0.933399745,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
9_bin.18,215R3,9,9,AB+AF,2.143202,x,50,0,0,0.840253849,7_1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,
9_bin.29,215R3,9,9,AB+AF,2.565914,x,59.31,4.31,100,2.618214289,103_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,
9_bin.30,215R3,9,9,AB+AF,2.121479,x,66.3,0.37,0,0.42782219,64_8,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,20CM-2-65-7,
9_bin.41,215R3,9,9,AB+AF,1.914906,x,50,1.72,100,2.749378442,24_1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
9_bin.14,215R3,9,9,AB+AF,2.668265,x,90.18,4.85,24,0.657703678,34_1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,UBA5005,
9_bin.32,215R3,9,9,AB+AF,4.399226,x,90.64,2.04,60,0.683602767,37_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
9_bin.34,215R3,9,9,AB+AF,3.846472,x,52.42,2.86,13.64,0.850174315,39_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,
9_bin.25,215R3,9,9,AB+AF,1.403143,x,50.34,0,0,0.739954582,27_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_A,
9_bin.3,215R3,9,9,AB+AF,5.914972,x,99.07,0.47,0,42.47216346,59_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,
9_bin.4,215R3,9,9,AB+AF,5.416846,x,51.21,0,0,4.062726305,60_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter spanius_B
9_bin.38,215R3,9,9,AB+AF,3.522871,x,98.3,0.98,0,1.442305459,67_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
9_bin.22,215R3,9,9,AB+AF,3.359273,x,95.51,1.09,20,1.432637074,82_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Simplicispira_B,
9_bin.20,215R3,9,9,AB+AF,2.87419,x,94,2.69,47.37,0.625403302,79_1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,
10_bin.8,225R1,10,9,PC,3.004992,NODE_1123_length_21038_cov_5.473689,88.29,0.97,0,0.414580129,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
10_bin.13,225R1,10,9,PC,2.638657,x,83.27,5.09,40,0.467171105,18_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
10_bin.4,225R1,10,9,PC,2.474877,x,93.71,0.14,100,2.498428846,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
10_bin.42,225R1,10,9,PC,2.049868,x,62.73,0.02,100,0.349612672,93_7,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Palsa-955,
10_bin.12,225R1,10,9,PC,2.610357,x,52.93,1.72,100,1.528190442,88_1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,,
10_bin.5,225R1,10,9,PC,3.709097,x,75.86,0,0,1.323602373,7_1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,
10_bin.55,225R1,10,9,PC,1.866654,x,50.56,4.33,94.74,0.566206096,91_1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium_A,
